,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1,bleurt
5-fold-stratified-cv-dialogled-base-with-section-description-complete-data-4.json,0.2506480160587141,0.09374289034886307,0.1740125027076914,0.1740125027076914,0.5354113087058068,0.6581576907863984,0.581938325556425,0.45719831929757043
5-fold-stratified-cv-dialogled-base-with-section-description-complete-data-0.json,0.2500303238318217,0.09128853252669933,0.16969547416559422,0.16969547416559422,0.5343127406534107,0.6687561902734969,0.5846658989615824,0.4600649422384313
5-fold-stratified-cv-dialogled-base-with-section-description-complete-data-3.json,0.23352477442737585,0.085980715318313,0.15936586322462964,0.15936586322462964,0.5300188885285304,0.6635505984608944,0.5799234779981467,0.44503070918413307
5-fold-stratified-cv-flan-t5-large-with-section-description-complete-data-0.json,0.24715283336073796,0.09765587216985323,0.21057874170664762,0.21057874170664762,0.6752039240922965,0.6032040884211602,0.6287640228125327,0.38491568768618206
5-fold-stratified-cv-biobart-v2-base-with-section-description-complete-data-1.json,0.1893474694438901,0.08302774418437728,0.16596376933900778,0.16596376933900778,0.6002855393749017,0.5767911633619895,0.5787197798490524,0.35298476898326325
5-fold-stratified-cv-flan-t5-large-with-section-description-complete-data-1.json,0.005411348667089737,6.993006993006994e-05,0.004720881559602554,0.004720881559602554,0.048957484502058765,0.034384782612323764,0.040077756803769335,0.07201294486339276
5-fold-stratified-cv-dialogled-base-with-section-description-complete-data-1.json,0.2566018813958996,0.10314468867672319,0.18083905860965446,0.18083905860965446,0.5327813446521759,0.6656278418806884,0.5821053824745692,0.46044948261517743
5-fold-stratified-cv-dialogled-large-with-section-description-complete-data-0.json,0.25154460755658126,0.10224918023787173,0.17441080111773802,0.17441080111773802,0.5193698130462362,0.6746839789595184,0.5782691541759447,0.48427353553845054
5-fold-stratified-cv-dialogled-large-with-section-description-complete-data-2.json,0.23924524892857738,0.1011279820386918,0.1665281670111124,0.1665281670111124,0.4990219402198608,0.667240586074499,0.5597833115320939,0.480317968588609
5-fold-stratified-cv-biobart-v2-base-with-section-description-complete-data-3.json,0.19788884929601702,0.07798990355733385,0.16967122417227193,0.16967122417227193,0.6169314259519943,0.5920798823237419,0.5933518652732556,0.3665762700427037
best_summary-2.json,0.010589152877350256,0.0024067121831044353,0.007746271215325979,0.007746271215325979,0.3117844906860384,0.34615649854571656,0.324539033503368,0.20713485276390767
5-fold-stratified-cv-flan-t5-large-with-section-description-complete-data-4.json,0.02445679446732376,0.0005737017001265232,0.02069279384045162,0.02069279384045162,0.6733649130050953,0.3501279101921962,0.4454186246945308,0.051173283532261846
5-fold-stratified-cv-flan-t5-large-with-section-description-complete-data-3.json,0.007558620254759334,0.001079260665193883,0.007147690473941418,0.007147690473941418,0.09140631430424177,0.059554989865193,0.07080821280296032,0.07216431209101126
5-fold-stratified-cv-biobart-v2-base-with-section-description-complete-data-0.json,0.2081241660785502,0.07701685584167804,0.1762850938440657,0.1762850938440657,0.6230345018978777,0.5898892343957762,0.5950643794746692,0.35611110471788493
5-fold-stratified-cv-dialogled-large-with-section-description-complete-data-1.json,0.2498448213638139,0.10320148287153683,0.16890321498912167,0.16890321498912167,0.5174686830204267,0.6785285796110446,0.5771502150939061,0.46099140340319045
5-fold-stratified-cv-biobart-v2-base-with-section-description-complete-data-4.json,0.20310322690569108,0.08026506542161353,0.17690458411438192,0.17690458411438192,0.6298214356486614,0.5751450041165719,0.5917744599855863,0.35504891339402933
5-fold-stratified-cv-dialogled-large-with-section-description-complete-data-4.json,0.24685115366835186,0.09906212943100388,0.16656297625288582,0.16656297625288582,0.5225807378498407,0.676545997766348,0.5813292716558163,0.477935670201595
5-fold-stratified-cv-flan-t5-large-with-section-description-complete-data-2.json,0.009756167604968297,0.0008220219782557625,0.00799945659682171,0.00799945659682171,0.049083136251339546,0.041171323794585005,0.0441700035562882,0.07982816555752204
5-fold-stratified-cv-dialogled-large-with-section-description-complete-data-3.json,0.23445167510900922,0.09325692100750524,0.16143803211973184,0.16143803211973184,0.5115974150024928,0.6824038773775101,0.5739655206982907,0.4600763179934942
5-fold-stratified-cv-biobart-v2-base-with-section-description-complete-data-2.json,0.19061326471174575,0.06520082474372152,0.16288063503096403,0.16288063503096403,0.6040810168935702,0.5876051610478988,0.5843876675917552,0.36252001392153593
5-fold-stratified-cv-dialogled-base-with-section-description-complete-data-2.json,0.24477054429082024,0.09383201500359192,0.1687036510757647,0.1687036510757647,0.5227890838797276,0.661419201699587,0.5726953817101625,0.4595492720603943
